Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX1,MX-NoLED,SW_Kailh_Choc_V2,172.5422,-176.9872,180,top
MX2,MX-NoLED,SW_Kailh_Choc_V2,232.0036,-114.3508,180,top
MX3,MX-NoLED,SW_Kailh_Choc_V2,131.4196,-107.8992,180,top
MX4,MX-NoLED,SW_Kailh_Choc_V2,260.8834,-102.2604,180,top
MX5,MX-NoLED,SW_Kailh_Choc_V2,101.2952,-107.6198,180,top
MX6,MX-NoLED,SW_Kailh_Choc_V2,289.941,-102.9462,180,top
MX7,MX-NoLED,SW_Kailh_Choc_V2,156.7942,-123.0122,180,top
MX8,MX-NoLED,SW_Kailh_Choc_V2,315.8236,-141.3256,180,top
MX9,MX-NoLED,SW_Kailh_Choc_V2,229.5144,-143.1036,180,top
MX10,MX-NoLED,SW_Kailh_Choc_V2,286.7914,-131.9458,180,top
MX11,MX-NoLED,SW_Kailh_Choc_V2,258.0386,-132.5372,180,top
MX12,MX-NoLED,SW_Kailh_Choc_V2,318.9478,-109.22,180,top
R1,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,299.6,-76.2,180,top
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,299.6,-78.6,0,top
SW1,SW_Push,SW_PUSH_6mm_H8.5mm,158.04,-73.95,0,top
SW2,SW_Push,SW_PUSH_6mm_H8.5mm,142.8,-73.66,0,top
SW3,SW_Push,SW_PUSH_6mm_H8.5mm,112.32,-73.95,0,top
SW4,SW_Push,SW_PUSH_6mm_H8.5mm,173.99,-73.95,0,top
SW5,SW_Push,SW_PUSH_6mm_H8.5mm,191.06,-73.95,0,top
SW6,SW_Push,SW_PUSH_6mm_H8.5mm,127.56,-73.95,0,top
U1,brook_ufb,Brook_Universal_Fighting_Board,292.345249,-187.995305,180,top
U2,UP5,UP5,99.2124,-187.3758,0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,224.969652,-57.5172,180,top
